Temperature (K),AC Moment (emu)
90.349308013916,3.5618536794411796e-06
89.5560302734375,3.7742678690679297e-06
89.01269149780269,3.76680489271486e-06
88.473445892334,3.797883274418e-06
87.93066787719731,3.80362706500605e-06
87.3906593322754,3.84727364854506e-06
86.85305786132808,3.6516279765576003e-06
86.0571174621582,3.83183460265115e-06
85.5185890197754,3.6966027289623705e-06
84.7251663208008,3.92340593037036e-06
84.1816024780273,3.6751092522576897e-06
83.3833999633789,3.96318431237404e-06
82.84336853027341,3.97001294007451e-06
82.2962303161621,4.01312823203778e-06
81.7573432922363,3.97964450230938e-06
81.2142372131348,3.80136257887305e-06
80.4178504943848,4.01890677585886e-06
79.876091003418,4.07827034728713e-06
79.3346900939941,4.11930853963076e-06
78.7921524047852,4.13093664996696e-06
78.2505264282227,4.1031189574073e-06
77.5800132751465,4.16060699705216e-06
76.9110298156738,4.15637018680894e-06
76.3678207397461,4.2894063694272905e-06
75.82817459106441,4.1605928405171796e-06
75.286319732666,4.26500384018471e-06
74.74827575683591,4.26138598258949e-06
74.2072830200195,4.28062780567512e-06
73.6648712158203,4.2711791303318296e-06
73.1245040893555,4.34205055416993e-06
72.5795249938965,3.98630991957686e-06
71.7871742248535,4.394558084151091e-06
71.2447509765625,4.42206367679922e-06
70.7017250061035,4.4101252783363194e-06
70.1601753234863,4.43739523255099e-06
69.618293762207,4.4417606607423104e-06
69.0740509033203,4.476460854704509e-06
68.532642364502,4.69853445698175e-06
67.99407958984379,4.507400100483901e-06
67.4532089233398,4.50208738638303e-06
66.9146347045898,4.57580338459497e-06
66.3758277893066,4.52537442080679e-06
65.8324165344238,4.56498516282095e-06
65.290885925293,4.60169855157716e-06
64.74948120117189,4.6017738383075e-06
64.2108268737793,4.58480820077131e-06
63.6690616607666,4.64611863523164e-06
63.1301174163818,4.70413329099552e-06
62.58871269226071,4.69936988117343e-06
62.044958114624,4.64811423261878e-06
61.5046577453613,4.6509790280770205e-06
60.963808059692404,4.69858074098213e-06
60.4172210693359,4.66924041257814e-06
59.8782901763916,4.7241317659714106e-06
59.3382091522217,4.73791800087681e-06
58.7964019775391,4.662696691265631e-06
58.255821228027294,4.76118770840636e-06
57.7157459259033,4.76232783749612e-06
57.17757987976071,4.73647345711396e-06
56.6334590911865,4.72752982298684e-06
56.093936920165994,4.6543382923057095e-06
55.551149368286104,4.71174930159479e-06
55.0079555511475,4.7262454677957295e-06
54.4713554382324,3.49463293841219e-06
53.6721343994141,4.68316008737331e-06
53.1348514556885,4.6350551652365e-06
52.5924015045166,4.66759817436279e-06
52.052465438842795,4.6543432378647e-06
51.512569427490206,4.6430405339752405e-06
50.9710903167725,4.63376830116422e-06
50.4318561553955,4.59544754871688e-06
49.8925037384033,4.54527389346088e-06
49.350503921508796,4.54784929598132e-06
48.8079166412354,4.47579600220812e-06
48.2680320739746,4.45990244413917e-06
47.7262954711914,4.4441987542299695e-06
47.1869983673096,4.4193273032502405e-06
46.647544860839794,4.3374604268106e-06
46.1051502227783,4.30707631123479e-06
45.5648021697998,4.26318527673465e-06
45.025749206543,4.20949624685951e-06
44.485071182251,4.233071648395961e-06
43.9441661834717,4.11827563030516e-06
43.4036693572998,4.05415305101076e-06
42.8640365600586,4.025000238451069e-06
42.3237247467041,4.00775878383025e-06
41.783678054809606,3.99105660642433e-06
41.24295234680179,3.87663036812097e-06
40.7008628845215,3.90519905250627e-06
40.1614246368408,3.80642813148517e-06
39.623893737793004,3.7892066006613e-06
39.084581375122106,3.74613334443873e-06
38.540931701660206,3.7326735829876196e-06
38.0038414001465,3.7174942710852006e-06
37.464382171630895,3.6586299231669098e-06
36.924015045166,2.58000314030794e-06
36.132581710815394,3.6145901250341902e-06
35.593225479126,3.68505117976754e-06
35.0508003234863,3.7595516822563103e-06
34.5121822357178,3.7092140402748e-06
33.9711303710937,3.71845076407525e-06
33.431871414184606,3.8003040435773497e-06
32.8938732147217,3.8686948302406895e-06
32.3533267974854,3.76651878979012e-06
31.8129997253418,4.02143081580348e-06
31.273478507995602,4.06396322904591e-06
30.7346086502075,4.1655355538005205e-06
30.196215629577605,4.2912669310308e-06
29.6552820205688,4.45281393118984e-06
28.992769241332997,4.61218799165321e-06
28.3261098861694,4.62417836850325e-06
27.5350360870361,4.9351634462967906e-06
26.9947271347046,5.10554178100261e-06
26.458070755004897,4.701440799176699e-06
25.6655206680298,5.50561403355625e-06
25.128552436828603,5.68153704904666e-06
24.5886764526367,5.74113962643686e-06
24.0507764816284,6.15443566762745e-06
23.5148782730103,6.239851697702089e-06
22.9775466918945,6.43542042913267e-06
22.439414024353,6.6291995805763294e-06
21.9014835357666,6.9126169456901705e-06
21.3655290603638,7.12404658674371e-06
20.8276119232178,7.1960741421007995e-06
20.2916288375854,7.27088841939684e-06
19.7550773620605,7.46660724606044e-06
19.2192630767822,7.80612864406913e-06
18.6848497390747,7.95064081096296e-06
18.1519746780396,8.15183997799834e-06
17.6160202026367,8.38763141055791e-06
17.082799911499,8.41890767759721e-06
16.5497522354126,8.44664326243258e-06
16.0166530609131,8.83142215187778e-06
15.483635902404801,8.834219187351519e-06
14.952362060546902,8.96843759956151e-06
14.418052673339801,9.06611508589342e-06
13.8856048583984,9.36380465595929e-06
13.3516917228699,9.25889174937292e-06
12.821647167205802,9.56140336734322e-06
12.292112827300999,9.41929036298062e-06
11.7639760971069,9.56443192158847e-06
11.2357912063599,9.62643684354108e-06
10.707951068878199,9.78395056686933e-06
9.92781352996826,1.0360998025729199e-05
9.15025997161865,1.01756123711203e-05
8.63557529449463,1.03839923084894e-05
8.12212181091309,1.0253054347977802e-05
7.60975861549377,1.0250613853982599e-05
7.10124969482422,1.0106900290653699e-05
