Interpolated R,Interpolated T
3565.413488,0.14903187
3565.855793,0.148985524
3566.298097,0.148939204
3566.740402,0.148892911
3567.182707,0.148846643
3567.625012,0.148800402
3568.067316,0.148754187
3568.509621,0.148707998
3568.951926,0.148661835
3569.394231,0.148615698
3569.836536,0.148569587
3570.27884,0.148523502
3570.721145,0.148477443
3571.16345,0.14843141
3571.605755,0.148385404
3572.048059,0.148339423
3572.490364,0.148293468
3572.932669,0.14824754
3573.374974,0.148201637
3573.817278,0.14815576
3574.259583,0.148109909
3574.701888,0.148064084
3575.144193,0.148018285
3575.586498,0.147972512
3576.028802,0.147926765
3576.471107,0.147881044
3576.913412,0.147835348
3577.355717,0.147789679
3577.798021,0.147744035
3578.240326,0.147698417
3578.682631,0.147652825
3579.124936,0.147607259
3579.567241,0.147561719
3580.009545,0.147516204
3580.45185,0.147470716
3580.894155,0.147425253
3581.33646,0.147379815
3581.778764,0.147334404
3582.221069,0.147289018
3582.663374,0.147243658
3583.105679,0.147198324
3583.547983,0.147153016
3583.990288,0.147107733
3584.432593,0.147062476
3584.874898,0.147017245
3585.317203,0.146972039
3585.759507,0.146926859
3586.201812,0.146881704
3586.644117,0.146836576
3587.086422,0.146791472
3587.528726,0.146746395
3587.971031,0.146701343
3588.413336,0.146656317
3588.855641,0.146611316
3589.297945,0.146566341
3589.74025,0.146521391
3590.182555,0.146476467
3590.62486,0.146431569
3591.067165,0.146386696
3591.509469,0.146341848
3591.951774,0.146297026
3592.394079,0.14625223
3592.836384,0.146207459
3593.278688,0.146162714
3593.720993,0.146117994
3594.163298,0.146073299
3594.605603,0.14602863
3595.047907,0.145983986
3595.490212,0.145939368
3595.932517,0.145894775
3596.374822,0.145850208
3596.817127,0.145805666
3597.259431,0.145761149
3597.701736,0.145716658
3598.144041,0.145672192
3598.586346,0.145627751
3599.02865,0.145583336
3599.470955,0.145538946
3599.91326,0.145494581
3600.355565,0.145450242
3600.797869,0.145405927
3601.240174,0.145361639
3601.682479,0.145317375
3602.124784,0.145273137
3602.567089,0.145228924
3603.009393,0.145184736
3603.451698,0.145140573
3603.894003,0.145096436
3604.336308,0.145052324
3604.778612,0.145008237
3605.220917,0.144964175
3605.663222,0.144920138
3606.105527,0.144876127
3606.547832,0.14483214
3606.990136,0.144788179
3607.432441,0.144744243
3607.874746,0.144700332
3608.317051,0.144656446
3608.759355,0.144612585
3609.20166,0.14456875
3609.643965,0.144524939
3610.08627,0.144481153
3610.528574,0.144437393
3610.970879,0.144393657
3611.413184,0.144349947
3611.855489,0.144306261
3612.297794,0.144262601
3612.740098,0.144218965
3613.182403,0.144175354
3613.624708,0.144131769
3614.067013,0.144088208
3614.509317,0.144044673
3614.951622,0.144001162
3615.393927,0.143957676
3615.836232,0.143914215
3616.278536,0.143870779
3616.720841,0.143827368
3617.163146,0.143783982
3617.605451,0.14374062
3618.047756,0.143697284
3618.49006,0.143653972
3618.932365,0.143610685
3619.37467,0.143567423
3619.816975,0.143524186
3620.259279,0.143480974
3620.701584,0.143437786
3621.143889,0.143394623
3621.586194,0.143351485
3622.028498,0.143308372
3622.470803,0.143265283
3622.913108,0.143222219
3623.355413,0.14317918
3623.797718,0.143136166
3624.240022,0.143093176
3624.682327,0.143050211
3625.124632,0.143007271
3625.566937,0.142964355
3626.009241,0.142921464
3626.451546,0.142878598
3626.893851,0.142835756
3627.336156,0.142792939
3627.77846,0.142750146
3628.220765,0.142707379
3628.66307,0.142664635
3629.105375,0.142621917
3629.54768,0.142579222
3629.989984,0.142536553
3630.432289,0.142493908
3630.874594,0.142451287
3631.316899,0.142408691
3631.759203,0.14236612
3632.201508,0.142323573
3632.643813,0.14228105
3633.086118,0.142238552
3633.528423,0.142196079
3633.970727,0.14215363
3634.413032,0.142111205
3634.855337,0.142068805
3635.297642,0.142026429
3635.739946,0.141984078
3636.182251,0.141941751
3636.624556,0.141899448
3637.066861,0.14185717
3637.509165,0.141814916
3637.95147,0.141772687
3638.393775,0.141730482
3638.83608,0.141688301
3639.278385,0.141646145
3639.720689,0.141604013
3640.162994,0.141561905
3640.605299,0.141519821
3641.047604,0.141477762
3641.489908,0.141435727
3641.932213,0.141393716
3642.374518,0.14135173
3642.816823,0.141309768
3643.259127,0.14126783
3643.701432,0.141225916
3644.143737,0.141184026
3644.586042,0.141142161
3645.028347,0.14110032
3645.470651,0.141058503
3645.912956,0.14101671
3646.355261,0.140974941
3646.797566,0.140933196
3647.23987,0.140891476
3647.682175,0.14084978
3648.12448,0.140808107
3648.566785,0.140766459
3649.009089,0.140724835
3649.451394,0.140683235
3649.893699,0.140641659
3650.336004,0.140600107
3650.778309,0.140558579
3651.220613,0.140517076
3651.662918,0.140475596
3652.105223,0.14043414
3652.547528,0.140392708
3652.989832,0.1403513
3653.432137,0.140309917
3653.874442,0.140268557
3654.316747,0.140227221
3654.759051,0.140185909
3655.201356,0.140144621
3655.643661,0.140103357
3656.085966,0.140062116
3656.528271,0.1400209
3656.970575,0.139979708
3657.41288,0.139938539
3657.855185,0.139897395
3658.29749,0.139856274
3658.739794,0.139815177
3659.182099,0.139774104
3659.624404,0.139733055
3660.066709,0.13969203
3660.509014,0.139651028
3660.951318,0.139610051
3661.393623,0.139569097
3661.835928,0.139528167
3662.278233,0.139487261
3662.720537,0.139446379
3663.162842,0.13940552
3663.605147,0.139364686
3664.047452,0.139323875
3664.489756,0.139283088
3664.932061,0.139242325
3665.374366,0.139201585
3665.816671,0.13916087
3666.258976,0.139120178
3666.70128,0.13907951
3667.143585,0.139038865
3667.58589,0.138998245
3668.028195,0.138957648
3668.470499,0.138917075
3668.912804,0.138876525
3669.355109,0.138836
3669.797414,0.138795498
3670.239718,0.138755019
3670.682023,0.138714565
3671.124328,0.138674134
3671.566633,0.138633727
3672.008938,0.138593343
3672.451242,0.138552984
3672.893547,0.138512647
3673.335852,0.138472335
3673.778157,0.138432046
3674.220461,0.138391781
